id,県,塾名,運営会社,窓口種別,宛先,確認したページURL,営業お断り表記の有無,中学生コースの有無,教室数,一言メモ,状態
KNGB-011,kanagawa,個別指導のDoors,,form,https://doors-kobetsu.com/contact/,https://doors-kobetsu.com/contact/,無,有,,中学生コースで定期テスト対策から高校受験対策まで行うと記載,未着手
KNGB-012,kanagawa,さくら個別指導塾,,form,https://sakura-kobetsu.com/inquiry.html,https://sakura-kobetsu.com/winter2025/,無,有,,冬期講習2025-2026の案内ページ(2025年10月15日投稿)があり神奈川県公立高校入試に触れている(相模原市・座間市),未着手
KNGB-013,kanagawa,ホタル塾,,form,https://hotaru19.com/contact/,https://hotaru19.com/contact/,無,有,,中学部は中1〜中3対象で定期テスト対策・内申対策・神奈川県公立高校入試対策を掲げる,未着手
KNGB-014,kanagawa,個別指導ルック,,mail,info@look-kobetsu.com,https://look-kobetsu.com/privacy,無,有,,5科目対応の無料定期テスト対策会の案内がある(相模原市中央区),未着手
KNGB-015,kanagawa,個学指導のエイティ,,form,https://www.eighty-kogakushidu.com/contact,https://www.eighty-kogakushidu.com/contact,無,有,,相模原中央校・南林間校に中学生コースがあり中学校別の定期テスト対策ページがある,未着手
KNGB-016,kanagawa,登臨ゼミナール,,form,https://torin-seminar.com/form,https://torin-seminar.com/form,無,有,,中学部のページで公立高校の選抜資料の中心は内申点と入試得点と説明している(相模原市中央区),未着手
KNGB-017,kanagawa,きぬがさ塾,,mail,info@kinujuku.jp,https://www.kinujuku.jp/,無,有,,冬期講習会のご案内ページがあり「開校以来22年連続全員合格」と掲げる(相模大野・中央林間),未着手
KNGB-018,kanagawa,学習塾慧友,,form,https://ku-juku.com/toiawase/,https://ku-juku.com/toiawase/,無,有,,中学生コースは定期テスト対策・内申対策・高校受験対策を中心と記載(相模大野)。しつこい勧誘は無い旨の記載のみで営業お断り表記は無し,未着手
KNGB-019,kanagawa,ほまれ塾,,mail,kamimizo@homarejuku.com,https://homarejuku.com/contact,無,有,,合格実績に大和高校・海老名高校・弥栄高校(普通科)などの公立高校を掲載,未着手
KNGB-020,kanagawa,受験サポート塾ジークSIEG,,form,https://ts-sieg.com/contact-us/,https://ts-sieg.com/contact-us/,無,有,,東林間・中央林間の塾で相談サポート・自習室・定期テスト対策・確認テストを提供と記載,未着手
KNGB-021,kanagawa,ACEゼミナール,,form,https://atsugijuku.com/contact/,https://atsugijuku.com/contact/,無,有,,「内申点を上げるための具体的なノート指導」を訴求(厚木・大和・海老名・秦野・相模原の高校を目指す塾),未着手
KNGB-022,kanagawa,若泉進学会,,mail,jukuchou@jakusen.com,https://jakusen.com/contact.html,無,有,,中学生向けに「教科書コース」「マンツーマンコース」などがあり本厚木駅徒歩圏の少人数進学塾と記載,未着手
KNGB-023,kanagawa,まなびジョーズ学院,,form,https://manabijouzu.com/contact/,https://manabijouzu.com/contact/,無,有,,厚木市の塾で高校受験・中学受験・高認受験などに対応と記載,未着手
KNGB-024,kanagawa,個別指導エルフ学院,株式会社エルフ,form,https://elf-gakuin.co.jp/toiawase.htm,https://elf-gakuin.co.jp/toiawase.htm,無,有,,中学生の定期テスト対策プランと中学生の「受け放題」コースの案内がある,未着手
KNGB-025,kanagawa,学指会,,mail,hadano@gakushikai.net,https://gakushikai.net/join/jikanwari/,無,有,,ブログに「内申点から考える、神奈川の高校受験と志望校選び」の連載(2026年9月)がある。秦野で45年と記載,未着手
KNGB-026,kanagawa,グリーンライフゼミナール鶴巻校,,form,https://greenlifeseminar.com/contact/,https://greenlifeseminar.com/contact/,無,有,,お知らせに「令和9年度公立高校入試実施要項ならびに募集案内について」(2026年7月3日)を掲載,未着手
KNGB-027,kanagawa,早稲田アルパス,株式会社シャイムズ,form,https://wasedatokai.jp/contact/,https://wasedatokai.jp/contact/,無,有,,東海大学前駅の個別指導塾で中学・高校・大学受験と学校テスト対策を掲げる(無料体験授業の申込ページあり),未着手
KNGB-028,kanagawa,松島塾,,form,http://matsushimajuku.com/contact/,http://matsushimajuku.com/contact/,無,有,,「地元小・中学校完全対応 少人数クラス 定期テスト対策 高校入試」を掲げる小田原の学習塾,未着手
KNGB-029,kanagawa,慧真館,,form,https://keishinkan.jp/contact,https://keishinkan.jp/contact,無,有,,「小田原市の中学生・小学生の少人数精鋭指導の進学塾・公立上位校受験専門」と記載,未着手
KNGB-030,kanagawa,柏木塾,,form,https://kashiwagi-juku.jp/contact/,https://kashiwagi-juku.jp/contact/,無,有,,トップに「内申書対策や入試対策をしたい」層向けの案内がある(小田原市栢山),未着手
KNGB-031,kanagawa,エコール学院,有限会社エコール学院,form,https://www.ecole-gakuin.com/contact/,https://www.ecole-gakuin.com/contact/,無,有,,中学生は各学年定員12名の少人数指導と記載。ブログに令和7年度神奈川県公立高校学力検査数学の講評がある,未着手
KNGB-032,kanagawa,個別指導のササキ塾,,form,https://sasaki-juku.net/?page_id=208,https://sasaki-juku.net/?page_id=208,無,有,,入試対策ゼミガイダンス2026の記事(2026年9月22日)があり中3入試対策ゼミを実施,未着手
KNGB-033,kanagawa,HOME個別指導塾,,form,https://home-kobetsu.com/?page_id=293,https://home-kobetsu.com/?page_id=293,無,有,,ブログに「神奈川県完全受験マニュアル【神奈川県公立高校入試情報のまとめ】」がある(藤沢市村岡),未着手
KNGB-034,kanagawa,すばる進学セミナー,,mail,info@subaru-ss.jp,https://subaru-ss.jp/,無,有,,トップに「徹底した少人数と鎌倉地域密着型の進学塾」と記載。中学部の説明会案内ページがある,未着手
KNGB-035,kanagawa,學志館,株式会社學志館,form,https://gakushikan.jp/contact/,https://gakushikan.jp/contact/,無,有,,お知らせに逗子市中学校の「定期テスト廃止」についての記事(2026年5月7日)がある,未着手
KNGB-036,kanagawa,逗子アナザースクール,,form,https://www.zushianotherschool.com/contact/,https://www.zushianotherschool.com/contact/,無,有,,トップに「内申点＆観点別アップ・単元＆定期テスト対策」に対応と記載,未着手
KNGB-037,kanagawa,賢育学舎,,form,https://kenikugakusha.com/contactus,https://kenikugakusha.com/contactus,無,有,,トップに「神奈川公立高校 合格速報 受験者16名 全員合格」と掲載(横須賀市根岸町),未着手
KNGB-038,kanagawa,進学塾クロフネ,株式会社クロスカ,mail,kurihama@kurofune-school.com,https://kurofune-school.com/tokushoho/,無,有,,中学生コースで内申対策・神奈川県公立高校入試対策を行うと記載(追浜・大津・横須賀総合高校専門),未着手
KNGB-039,kanagawa,横浜個人指導会,,form,https://shidokai-yokosuka.com/contact/,https://shidokai-yokosuka.com/contact/,無,有,,春期・夏期・冬期講習など特別講習を開講と記載(横須賀市浦賀)。名称に横浜とあるが所在は横須賀,未着手
KNGB-040,kanagawa,横須賀能率スクール,,form,http://www.yokosuka4119.com/contact/index.html,http://www.yokosuka4119.com/contact/index.html,無,有,,冬期講習のご案内ページがあり学校別・個人別の定期テスト対策を行うと記載,未着手
KNGB-041,kanagawa,啓悠舎,,form,https://www.keiyusha.jp/contact.html,https://www.keiyusha.jp/contact.html,無,有,,タイトルに「浦賀中学鴨居中学対応塾」とあり中学生指導方針のページがある,未着手
KNGB-042,kanagawa,伸学館ゼミナール,株式会社伸学館,form,http://shingakukan.jp/otoiawase/,http://shingakukan.jp/otoiawase/,無,有,,問い合わせページに「小1から中3までの完全地域密着」と記載(横須賀市),未着手
KNGB-043,kanagawa,進学塾CLEAR,,form,https://clear.school/new/お問い合わせフォーム/,https://clear.school/new/お問い合わせフォーム/,有,有,,フォームに「営業・勧誘を目的としたお問い合わせは固くお断りいたします」と記載のため除外(小田原・国府津),除外
KNGB-044,kanagawa,神奈研MANABIYA 鶴が台校,,form,https://kanaken-manabiya.com/contact/,https://kanaken-manabiya.com/contact/,有,有,,問い合わせページに「営業目的の業者の方は利用をご遠慮ください」と記載のため除外(茅ヶ崎市),除外
KNGB-045,kanagawa,フロンティア学院,,form,https://frontiergakuin.jp/question/,https://frontiergakuin.jp/question/,有,有,,資料請求フォームに「営業のご連絡はご遠慮願います」と記載のため除外(厚木市),除外
KNGB-046,kanagawa,パスカル進学ゼミ,,form,https://pascal-zemi.net/contact/,https://pascal-zemi.net/contact/,有,有,,問い合わせページに「営業目的でのご利用はご遠慮」と記載のため除外(厚木市),除外
KNGB-047,kanagawa,KOSHIN学院,,form,https://www.koshin-gakuin.jp/contact/,https://www.koshin-gakuin.jp/contact/,有,有,,問い合わせページに「営業等の売り込みにつきましては、一切お断り」と記載のため除外(平塚市),除外
KNGB-048,kanagawa,平塚中等受検・高校受験の堀口塾,,form,https://www.horiguchijuku.com/contact/,https://www.horiguchijuku.com/contact/,有,有,,ページに「営業の書き込みは固くお断り」と記載のため除外(平塚市),除外
KNGB-049,kanagawa,毎日個別塾5-Days,5JAPAN株式会社,form,https://5-days.jp/mailform/,https://5-days.jp/company/,無,有,,会社沿革に広島・福岡など多数地域での校舎展開が記載され全国規模のチェーンのため県枠の対象外として除外,除外
KNGB-050,kanagawa,個別指導学習塾 まんてんスクール,,form,https://www.manten-school.com/contact/,https://www.manten-school.com/,無,,,サイトタイトルが「小学生の基礎学力を伸ばす学習塾」で中学生向けコースを確認できず除外,除外
KNGB-051,kanagawa,個別指導塾 学習空間,株式会社スタディーネットワーク,form,https://gakushu-kukan.com/contact/,https://gakushu-kukan.com/contact/,無,有,,神奈川県公立高校入試の現状や高校データを把握と記載。ただし問い合わせ窓口が資料請求フォームのみで用途限定の可能性があり要確認,要確認
KNGB-052,kanagawa,けいおう学院,けいおう株式会社,form,https://keiou.jp/2023/shiryou,https://keiou.jp/company,無,有,,公立高校専門の個別指導塾で神奈川に多数の教室を持つ。公開窓口が資料請求・体験フォームで一般の問い合わせ窓口が未確認のため要確認,要確認
KNGB-053,kanagawa,東日本進学会,,,,https://www.higapon.net/,,有,,秦野・厚木などに教室があり冬期講習・定期テスト対策の案内ページがある。問い合わせ窓口(メール/フォーム)を特定できず要確認,要確認
