id,県,塾名,運営会社,窓口種別,宛先,確認したページURL,営業お断り表記の有無,中学生コースの有無,教室数,一言メモ,状態
C1-023,ishikawa,進学個別指導塾ノエクリ,株式会社WILLBANK,form,https://noecre.jp/contact,https://noecre.jp/,無,有,,サイトが「難関大学受験・国公立高校受験に強い進学塾」と名乗り、金沢市・白山市・小松市で展開している,未着手
C1-024,ishikawa,学習塾 数塾,,form,https://www.suzyuku.com/inqfm/general/,https://www.suzyuku.com/mattou/middle-school/,無,有,3,中学3年生は1・2年生の復習と並行して入試対策も行うと記載(白山・野々市・金沢の3校),未着手
C1-025,ishikawa,泉進ゼミナール,,mail,info@senshin-seminar.com,https://www.senshin-seminar.com/access.html,無,有,,事業内容に中学生向け個別指導専門塾の運営と高校受験対策教材の制作が挙がる(金沢市),未着手
C1-026,nagasaki,智翔館,株式会社智翔館,form,https://chishokan.co.jp/wp/contact/,https://chishokan.co.jp/,無,有,,中3向け「長崎県一斉模試」と「秋の受験対策講座」の案内が掲載されている(佐世保市),未着手
C1-027,nagasaki,モリ・ジュク,株式会社モリジュク,mail,morijuku_haiki@yahoo.co.jp,https://mori-juku.co.jp/,無,有,,トップに「志望校ごとの受験対策サポート」と記載し中学部のページがある(佐世保市早岐・広田),未着手
C1-028,nagasaki,長崎ゼミナール,有限会社長崎ゼミナール,form,https://n-semi.com/contact/,https://n-semi.com/each-grade/,無,有,,各学年コースの中学生の項で学習目標に「公立高校合格」を掲げている(長崎市),未着手
C1-029,nagasaki,吉野塾,,form,https://www.yoshinojuku.jp/form.html,https://www.yoshinojuku.jp/,無,有,,2026年の入試で諫早高・長崎西・長崎東・長崎北の公立高校合格を掲載している(諫早市),未着手
C1-030,nagasaki,進学サポートαstep,,form,https://www.alpha-step.com/contact/,https://www.alpha-step.com/,無,有,,サイトに「志望校合格率100％」と合格実績を掲載している(諫早市),未着手
C1-031,gifu,賢学塾,,form,https://ssl.form-mailer.jp/fms/1cad3d57104004,https://kengakujuku.com/,無,有,,「中３高校入試対策」コースがあり、岐阜県公立高校入試のデータを解説する「高校入試情報サイト」を運営している(大垣市),未着手
C1-032,gifu,開智塾,,form,https://kaichijuku.jp/contact/,https://kaichijuku.jp/,無,有,,中学部に月1回の「超級英語・超級数学」があると記載(各務原・関・美濃・美濃加茂・富加),未着手
C1-033,gifu,螢雪ゼミナール,,form,https://keisetsu.net/info/contact1.php,https://keisetsu.net/,無,有,,中学部は「部活も勉強も両方頑張る」生徒向けの受験に強い独自システムと記載(愛知・岐阜・西濃),未着手
C1-034,gifu,春塾,,form,https://ogaki-harujuku.jp/contact/,https://ogaki-harujuku.jp/,無,有,,小中高生対象で、高校受験まで5教科に対応する個別・集団指導と無料送迎バスを掲載している(大垣市),未着手
C1-035,gifu,天晴塾,,form,https://tensei-juku.jimdofree.com/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B-1/,https://tensei-juku.jimdofree.com/,無,有,,学年別の募集状況を掲載し「中３ 募集終了」と記載している(多治見市),未着手
C1-036,nara,市田塾,株式会社市田,form,https://ichidajuku.co.jp/contact/,https://www.ichidajuku.co.jp/junior-high-school,無,有,12,高校受験コースで「定期テストで着実に結果を出し、内申点アップにつなげます」と記載し、12月に冬期講習開始とある,未着手
C1-037,nara,進学塾“関西”,,mail,kansai@kansai-edu.com,https://kansai-edu.com/inquiry/,無,有,5,天理・生駒・真美ヶ丘・精華台・城山台に校舎があり、中学部(中1〜中3)のコースがある(1974年創塾),未着手
C1-038,nara,個別指導るーと,,form,https://root-nara.jp/contact,https://root-nara.jp/,無,有,,「冬期集中の募集を開始しました」(2025.11.28)の案内があり、高校受験(中学3年生)の指導ページがある(天理市),未着手
C1-039,nara,泉原学習塾 小林学習塾,,form,https://izumihara.com/inquiry/,https://izumihara.com/junior-2/,無,有,,中学生は「内申、実力アップを目指す」とし、定期テスト2週間前から毎日2時間の授業(無料)と記載(大和郡山市),未着手
C1-040,nara,進学塾AOI,,form,https://aoijuku.com/%e3%81%8a%e5%95%8f%e3%81%84%e5%90%88%e3%82%8f%e3%81%9b/,https://aoijuku.com/,無,有,,サイトに「2024年度高校入試実績」のページがあり、中学の5教科を担当講師制で指導している(大和郡山市),未着手
C1-041,kyoto,森学習塾,,form,https://mori-gj.com/contact-us/,https://mori-gj.com/,無,有,,中3向け「公立高校入試対策講座」が10月末からあるが、問い合わせフォームは体験授業・個別相談会の申込専用のため,除外
C1-042,hyogo,木村塾,株式会社ヒューマレッジ,form,,https://www.kimurajuku.co.jp/kimurajuku/chugakusei/hyogo.html,,有,19,兵庫の中学部は19教室だが、問い合わせページが東進(ナガセ)ドメインの資料請求フォームへ転送され、ナガセグループのため,除外
C1-043,hyogo,ロイヤルアカデミー神吉校,,,,https://royal-academy-members.info/?page_id=306,無,有,,連絡はLINEと電話のみで、メールもフォームも確認できないため,除外
C1-044,gifu,旭ゼミナール,有限会社旭ゼミナール,form,https://www.asahi-zemi.com/form.html,https://www.asahi-zemi.com/form.html,無,有,3,フォームは入塾お申し込み専用で「メールでの返信はいたしません」と記載され、問い合わせは電話のみのため,除外
C1-045,gifu,HOMES個別指導学院,株式会社HOMESエデュケーション,form,https://www.homes-edu.com/contact/,https://www.homes-edu.com/contact/,無,有,,フォームは資料請求・個別説明会・体験授業の申込専用のため,除外
C1-046,nagasaki,志田塾,,form,,https://www.shidajuku.com/,,,,長崎市の進学塾だがWebFetchでHTTP 403となり内容を確認できなかった(証明書エラーではない),要確認
