# T-Y14 okinawa: 令和9年度(2027年度入学者選抜)沖縄県立高等学校「特色選抜に係る募集人員の特別枠の設置」及び「(一般選抜)調査書と学力検査等の成績の比重」一覧(PDF4頁)を目視転記。
# 元PDF: https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/041/122/09hijyu4.pdf (県ページ https://www.pref.okinawa.jp/kyoiku/gakko/1008883/1008887/1041122.html)
# 形式: No|学校番号|学校名|課程|学科|コース|定員|特色選抜募集人員の割合(%)|特別枠(x=なし/o=あり[チェック不要]/O=あり[チェック必要])|比重(調査書:学力検査等)
# 学校番号・学校名は最初の行のみ記載(以降の同一校の行は空欄=前行を継承)。定員の合計は資料の合計行14,720。
37|24|首里東|全日|普通||240|20|x|4.5:5.5
38|25|開邦|全日|学術探究||200|45|o|4:6
39|||全日|芸術|音楽|20|50|o|4:6
40|||全日|芸術|美術|20|50|o|4:6
41|26|那覇|全日|普通||400|25|o|4.5:5.5
42|27|真和志|全日|総合学|みらいデザイン|120|40|x|5:5
43|||全日|総合学|クリエイティブアーツ|40|40|x|5:5
44|||全日|みらい福祉||40|40|x|5:5
45|28|小禄|全日|普通|普通|280|25|O|5:5
46|||全日|普通|情報ビジネス|40|25|O|5:5
47|||全日|普通|芸術教養|40|25|O|5:5
48|29|那覇西|全日|普通||240|25|o|5:5
49|||全日|国際人文||80|45|o|5:5
50|||全日|体育||40|50|o|5:5
51|30|豊見城|全日|普通||320|25|O|5:5
52|31|豊見城南|全日|普通|普通|120|20|x|5:5
53|||全日|普通|特進|40|20|x|5:5
54|32|南風原|全日|普通|普通総合|200|20|x|5:5
55|||全日|普通|郷土文化|40|25|o|5:5
56|||全日|普通|教養ビジネス|80|20|x|5:5
57|33|向陽|全日|普通||80|25|o|4:6
58|||全日|理数||80|45|o|4:6
59|||全日|国際文||80|45|o|4:6
60|34|知念|全日|普通||320|25|o|4.5:5.5
61|35|糸満|全日|普通||320|25|O|5:5
62|36|久米島|全日|普通||80|20|x|5:5
63|||全日|園芸||40|20|x|5:5
64|37|宮古|全日|普通||160|20|x|4.5:5.5
65|||全日|文理探究||80|40|x|4.5:5.5
66|38|八重山|全日|普通||240|20|x|5:5
67|39|北部農林|全日|アグリテクノ||40|40|x|5:5
68|||全日|地域資源デザイン||40|40|x|5:5
69|||全日|食品クリエイト||40|40|x|5:5
70|||全日|ライフ創造||40|40|x|5:5
71|||定時|農業||40|40|x|5:5
72|40|中部農林|全日|熱帯資源||40|30|x|5:5
73|||全日|園芸科学||40|30|x|5:5
74|||全日|食品科学||40|30|x|5:5
75|||全日|造園||40|30|x|5:5
76|||全日|福祉||40|30|x|5:5
77|||定時|農業||40|30|x|5:5
78|41|南部農林|全日|食料生産||40|30|x|5:5
79|||全日|生物資源||40|30|x|5:5
80|||全日|食品加工||40|30|x|5:5
81|||全日|環境創造||40|30|x|5:5
82|||全日|生活デザイン||40|30|x|5:5
83|42|八重山農林|全日|アグリフード||40|30|x|5:5
84|||全日|グリーンライフ||40|30|x|5:5
85|||全日|フードプロデュース||40|30|x|5:5
86|||全日|ライフスキル||40|30|x|5:5
87|43|美来工科|全日|機械システム||80|40|x|5:5
88|||全日|自動車工学||40|40|x|5:5
89|||全日|電子システム||80|40|x|5:5
90|||全日|土木工学||40|40|x|5:5
91|||全日|ITシステム||40|40|x|5:5
92|||全日|コンピュータデザイン||40|40|x|5:5
93|44|美里工業|全日|機械||80|30|x|5:5
94|||全日|電気||80|30|x|5:5
95|||全日|建築||40|30|x|5:5
96|||全日|設備工業||40|30|x|5:5
97|||全日|調理||40|30|x|5:5
98|45|浦添工業|全日|情報技術||80|40|x|5:5
99|||全日|建築||40|40|x|5:5
100|||全日|インテリア||40|40|x|5:5
101|||全日|デザイン||80|40|x|5:5
102|||全日|調理||40|40|x|5:5
103|46|那覇工業|全日|機械||40|30|x|5:5
104|||全日|自動車||40|30|x|5:5
105|||全日|電気||80|30|x|5:5
106|||全日|グラフィックアーツ||40|30|x|5:5
107|||全日|服飾デザイン||40|30|x|5:5
108|||定時|機械||40|30|x|5:5
109|||定時|電気||40|30|x|5:5
110|47|沖縄工業|全日|電子機械||80|30|x|5:5
111|||全日|情報電子||80|30|x|5:5
112|||全日|建築||40|30|x|5:5
113|||全日|土木||40|30|x|5:5
114|||全日|工業化学||40|40|x|5:5
115|||全日|生活情報||40|30|x|5:5
116|48|南部工業|全日|機械||40|30|x|5:5
117|||全日|電気||40|30|x|5:5
118|||全日|建築設備|建築デザイン|20|30|x|5:5
119|||全日|建築設備|設備工学|20|30|x|5:5
120|49|宮古工業|全日|自動車機械システム||40|40|x|5:5
121|||全日|電気情報||40|40|x|5:5
122|||全日|生活情報||40|40|x|5:5
123|50|名護商工|全日|工業技術|機械|20|40|x|5:5
124|||全日|工業技術|電気|20|40|x|5:5
125|||全日|建築||40|40|x|5:5
126|||全日|総合情報||40|40|x|5:5
127|||全日|商業||40|40|x|5:5
128|||全日|地域産業||40|40|x|5:5
129|51|八重山商工|全日|機械電気|機械|20|40|x|5:5
130|||全日|機械電気|電気|20|40|x|5:5
131|||全日|情報技術||40|40|x|5:5
132|||全日|商業|会計システム|30|40|x|5:5
133|||全日|商業|情報ビジネス|30|40|x|5:5
134|||全日|商業|観光|20|40|x|5:5
135|||定時|商業||40|30|x|5:5
136|52|具志川商業|全日|リゾート観光||40|35|O|5:5
137|||全日|オフィスビジネス||40|35|O|5:5
138|||全日|ビジネスマルチメディア||40|35|O|5:5
139|||全日|情報システム||80|35|O|5:5
140|53|中部商業|全日|総合ビジネス||120|40|x|5:5
141|||全日|情報ビジネス||80|40|x|5:5
142|||全日|国際ビジネス||40|40|x|5:5
143|||全日|生涯スポーツ||40|50|o|5:5
144|54|浦添商業|全日|企業システム||160|35|O|5:5
145|||全日|ITビジネス||40|35|O|5:5
146|||全日|国際観光||80|35|O|5:5
147|55|那覇商業|全日|商業||200|45|O|5:5
148|||全日|情報処理||80|45|O|5:5
149|||全日|国際経済||40|45|O|5:5
150|56|南部商業|全日|流通クリエイト||40|45|o|5:5
151|||全日|オフィスクリエイト||40|45|o|5:5
152|||全日|デジタルクリエイト||40|45|o|5:5
153|||全日|観光クリエイト||40|45|o|5:5
154|57|沖縄水産|全日|海洋技術||40|30|x|5:5
155|||全日|海洋サイエンス||40|30|x|5:5
156|||全日|総合学||160|30|x|5:5
157|58|宮古総合実業|全日|海洋科学||40|40|x|5:5
158|||全日|生物生産||40|30|x|5:5
159|||全日|食と環境|フードクリエイト|20|40|x|5:5
160|||全日|食と環境|環境クリエイト|20|40|x|5:5
161|||全日|生活福祉||40|30|x|5:5
162|||全日|商業||40|30|x|5:5
163|59|泊|定時|普通|午前部|120|20|x|5:5
164|||定時|普通|夜間部|40|20|x|5:5
